Animal;PSA week 10 [ug/l];PSA week 9 [ug/l];Body weight week 10 [g]
ID003;21,3;16,57;35
ID007;7,55;5,38;31,6
ID008;23,58;17,4;33,6
ID009;13,17;11,14;31,7
ID010;9,9;9,33;34,1
ID016;15,05;15,29;39,6
ID018;13,53;12,14;34
ID025;13,13;10,91;33,3
ID027;9,59;8,79;32
ID031;7,04;6,95;36,6
ID032;8,49;8,02;34,9
ID037;13,74;13,38;32,4
ID040;23,62;19,15;35,9
ID045;14,27;9,8;34,8
ID047;6,57;6,28;31,9
ID054;34,72;27,14;32,1
ID056;28,15;22,05;32,2
ID058;9,74;7,68;34
